Type,Price,Bedrooms,Bathrooms,Area,Furnished,Level,Payment_Option,Delivery_Term,City,Price_per_sqm
0,4470000,3,2,155,0,2,Installment,3,188,28838.709677419356
0,492000,3,2,282,0,4,Cash,2,137,1744.6808510638298
0,1855000,3,3,200,0,2,Cash,0,66,9275.0
0,410000,2,1,100,0,4,Cash or Installment,1,135,4100.0
1,1980000,4,3,265,0,0,Cash or Installment,3,0,7471.698113207547
0,3450000,4,2,210,0,1,Cash,1,137,16428.571428571428
0,6000000,3,3,205,0,2,Cash,1,147,29268.29268292683
0,380000,3,1,90,0,3,Cash,1,0,4222.222222222223
0,3570000,3,2,147,0,3,Cash or Installment,2,191,24285.714285714286
0,510000,2,1,70,0,4,Cash,1,22,7285.714285714285
0,4000000,3,3,180,0,2,Cash,3,133,22222.222222222223
0,3200000,3,2,225,0,1,Cash,1,137,14222.222222222223
0,443000,3,2,155,0,2,Installment,2,188,2858.064516129032
0,4200000,2,2,120,0,2,Cash,1,30,35000.0
2,675000,1,1,45,0,2,Cash,2,0,15000.0
1,1000000,4,3,250,0,0,Cash or Installment,1,199,4000.0
0,420000,2,1,126,0,3,Cash or Installment,1,184,3333.3333333333335
0,2600000,4,3,235,0,1,Cash or Installment,3,170,11063.829787234043
0,3400000,3,3,215,0,1,Cash or Installment,3,137,15813.953488372093
0,1700000,3,3,165,0,1,Cash or Installment,2,51,10303.030303030304
0,6200000,3,3,210,0,2,Cash,3,179,29523.809523809523
0,1000000,3,2,150,0,0,Cash,1,18,6666.666666666667
0,1450000,3,2,125,0,7,Cash or Installment,3,168,11600.0
0,450000,2,3,124,0,3,Cash or Installment,0,137,3629.032258064516
0,712000,3,2,116,0,4,Installment,1,112,6137.931034482759
0,548000,3,2,197,0,4,Cash or Installment,1,138,2781.7258883248733
0,4700000,3,3,150,0,3,Cash or Installment,1,38,31333.333333333332
0,3996000,3,2,148,0,3,Cash or Installment,1,134,27000.0
0,750000,2,1,100,0,2,Cash,1,174,7500.0
0,3400000,3,3,135,0,2,Installment,1,12,25185.185185185186
0,600000,3,2,135,0,1,Cash or Installment,2,22,4444.444444444444
0,3800000,3,3,200,0,3,Cash,1,137,19000.0
0,2750000,4,2,173,0,2,Cash,1,175,15895.953757225434
0,340000,3,3,168,0,3,Cash or Installment,1,138,2023.8095238095239
0,780000,2,1,70,0,5,Cash,1,170,11142.857142857143
0,550000,2,1,100,0,5,Cash,0,77,5500.0
0,5661000,2,2,121,0,2,Cash,2,170,46785.12396694215
0,2500000,2,2,150,1,3,Cash or Installment,1,177,16666.666666666668
0,345000,2,1,120,0,3,Cash or Installment,1,135,2875.0
0,1940000,3,3,190,0,0,Installment,3,0,10210.526315789473
0,3135000,2,2,114,0,7,Cash or Installment,1,134,27500.0
0,1083000,3,2,150,0,2,Cash or Installment,3,133,7220.0
0,970000,3,2,160,0,3,Cash,0,77,6062.5
0,3500000,2,2,120,0,2,Cash or Installment,2,184,29166.666666666668
0,395000,3,1,162,0,0,Cash,1,135,2438.2716049382716
0,3600000,3,3,176,0,6,Cash or Installment,3,162,20454.545454545456
0,1500000,2,1,130,0,2,Cash,1,137,11538.461538461539
0,4786463,2,2,130,0,2,Cash or Installment,1,61,36818.946153846155
0,1450000,3,2,130,0,5,Cash,1,172,11153.846153846154
0,685000,3,3,185,0,2,Cash or Installment,2,170,3702.7027027027025
0,340000,2,2,98,0,2,Cash or Installment,2,184,3469.387755102041
0,6240000,4,3,215,0,0,Installment,3,170,29023.25581395349
0,7500000,3,3,220,0,0,Cash,3,14,34090.90909090909
0,4250000,3,2,120,0,2,Installment,1,184,35416.666666666664
0,1837000,3,3,175,0,2,Cash or Installment,3,0,10497.142857142857
1,3000000,3,2,260,0,0,Cash or Installment,1,199,11538.461538461539
0,2858000,3,3,185,0,3,Cash or Installment,1,138,15448.648648648648
0,3700000,3,3,151,0,3,Cash or Installment,1,12,24503.311258278147
0,3750000,4,3,250,0,2,Cash,1,0,15000.0
0,330000,2,1,120,0,3,Cash or Installment,1,135,2750.0
0,1120000,3,3,140,0,2,Cash or Installment,0,75,8000.0
0,733000,2,2,136,0,0,Cash,1,1,5389.705882352941
0,607000,4,3,220,0,3,Cash or Installment,2,137,2759.090909090909
0,862100,3,3,159,0,2,Cash,3,151,5422.012578616353
0,900000,2,2,124,0,2,Cash or Installment,2,131,7258.064516129032
0,400000,2,1,110,0,1,Cash or Installment,1,135,3636.3636363636365
0,4536000,3,3,155,0,4,Cash or Installment,3,188,29264.516129032258
0,5670000,3,3,164,0,4,Installment,1,206,34573.170731707316
0,3300000,3,3,155,0,4,Cash or Installment,3,138,21290.322580645163
0,300000,4,2,192,0,2,Cash or Installment,2,184,1562.5
0,720000,3,2,135,0,2,Cash,1,22,5333.333333333333
0,4408000,3,3,152,0,4,Cash or Installment,2,162,29000.0
0,840000,3,1,115,0,4,Cash,1,113,7304.347826086957
0,4200000,3,3,157,0,4,Cash,1,159,26751.5923566879
0,1600000,3,3,119,0,0,Installment,1,159,13445.378151260504
0,990000,3,2,135,0,2,Cash,1,77,7333.333333333333
0,2300000,2,2,89,0,1,Cash,1,112,25842.696629213482
0,400000,2,1,100,0,2,Cash or Installment,2,0,4000.0
0,2320000,2,2,119,0,1,Installment,3,134,19495.798319327732
0,1800000,3,2,185,0,0,Cash,1,146,9729.72972972973
0,6615000,3,2,199,0,1,Installment,0,85,33241.20603015075
0,5800000,3,2,149,0,0,Cash or Installment,1,170,38926.17449664429
0,950000,4,3,185,0,2,Cash or Installment,1,60,5135.135135135135
0,4200000,2,1,100,0,2,Cash or Installment,2,0,42000.0
0,6070000,3,3,220,0,3,Cash or Installment,3,183,27590.909090909092
0,1380000,3,2,160,0,3,Cash,1,77,8625.0
0,2200000,3,3,245,0,1,Cash or Installment,3,170,8979.591836734693
0,2500000,3,2,103,0,2,Cash,1,112,24271.844660194176
0,5500000,3,3,155,0,0,Cash,1,159,35483.87096774193
0,5000000,3,3,158,0,2,Cash,2,170,31645.569620253165
0,4400000,3,3,150,0,3,Cash or Installment,2,184,29333.333333333332
0,2268628,3,2,135,0,1,Cash or Installment,2,0,16804.651851851853
0,1330000,3,3,165,0,3,Installment,2,216,8060.606060606061
0,7500000,3,2,144,0,2,Cash,1,200,52083.333333333336
0,4000000,1,1,48,0,1,Cash or Installment,1,61,83333.33333333333
0,2423000,1,1,58,0,2,Cash or Installment,1,126,41775.862068965514
0,1100000,3,1,165,0,2,Cash,2,75,6666.666666666667
0,1560000,3,2,195,0,2,Cash or Installment,3,0,8000.0
0,470000,2,1,105,0,3,Cash,1,135,4476.190476190476
0,1600000,3,2,140,0,2,Cash,1,0,11428.57142857143
0,1300000,3,1,120,0,0,Cash,1,136,10833.333333333334
1,850000,3,3,160,0,0,Cash or Installment,1,137,5312.5
0,2070000,3,3,180,0,1,Cash or Installment,3,0,11500.0
0,1250000,3,1,125,0,6,Cash,1,125,10000.0
0,650000,3,2,188,0,0,Cash or Installment,2,65,3457.446808510638
